City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,dikson,92,RU,1534754446,93,73.51,80.55,46.21,9.42
138,hochheim,75,DE,1534753200,60,50.96,11.0,71.6,10.29
139,kang,0,BW,1534754921,28,-23.67,22.79,79.6,10.31
140,clyde river,90,CA,1534752000,100,70.47,-68.59,39.2,6.93
141,sorland,75,NO,1534751400,87,67.67,12.69,48.2,10.29
142,longyearbyen,75,NO,1534751400,70,78.22,15.63,44.6,3.36
143,camocim,0,BR,1534754922,87,-2.9,-40.84,74.11,11.77
144,east london,75,ZA,1534752000,63,-33.02,27.91,62.6,12.75
145,mackay,90,CA,1534752000,71,53.65,-115.58,53.6,4.7
146,nobres,80,BR,1534754923,74,-14.72,-56.34,70.69,11.32
147,lebu,75,ET,1534752000,68,8.96,38.73,66.2,6.93
148,saint george,20,GR,1534751400,51,39.45,22.34,84.2,9.17
149,puerto escondido,76,MX,1534754924,100,15.86,-97.07,81.85,13.78
150,tilichiki,92,RU,1534754488,98,60.47,166.1,49.54,12.21
151,warner robins,75,US,1534754100,94,32.62,-83.6,77.0,3.36
152,kieta,68,PG,1534754925,100,-6.22,155.63,75.37,2.59
153,fairbanks,90,US,1534751880,93,64.84,-147.72,57.2,4.38
154,sao benedito do rio preto,8,BR,1534754925,91,-3.33,-43.53,73.39,7.63
155,lufilufi,0,WS,1534754926,100,-13.87,-171.6,82.03,10.2
156,leningradskiy,92,RU,1534754428,100,69.38,178.42,39.19,8.97
157,omsukchan,88,RU,1534754926,63,62.53,155.8,38.29,13.78
158,ribeira grande,20,PT,1534752000,64,38.52,-28.7,69.8,5.82
159,salmo,0,CA,1534754927,89,49.19,-117.28,47.11,1.7
160,nhulunbuy,90,AU,1534753800,60,-12.18,136.78,75.2,14.99
161,cayenne,12,GF,1534753800,100,4.94,-52.33,73.4,7.18
162,statesboro,1,US,1534754100,94,32.45,-81.78,73.4,4.7
163,kundiawa,92,PG,1534754928,99,-6.02,144.97,57.73,0.69
164,alta floresta,56,BR,1534754928,97,-9.87,-56.08,69.88,2.15
165,rawson,0,AR,1534754425,76,-43.3,-65.11,23.62,2.71
166,rovaniemi,20,FI,1534753200,66,66.5,25.72,55.4,12.75
167,waipawa,100,NZ,1534754479,84,-39.94,176.59,48.55,6.17
168,jinchang,56,CN,1534754929,59,38.52,102.19,70.24,6.51
169,somerset west,75,ZA,1534752900,82,-34.08,18.85,55.4,4.7
170,halifax,75,CA,1534752000,100,44.65,-63.58,57.2,4.7
171,salalah,90,OM,1534751400,100,17.01,54.1,75.2,5.82
172,sokoni,0,CD,1534754930,33,-12.89,28.78,77.08,8.86
173,saldanha,0,PT,1534754464,42,41.42,-6.55,72.76,7.29
174,ivangorod,48,RU,1534754931,80,59.38,28.23,66.28,5.39
175,ilulissat,64,GL,1534751400,75,69.22,-51.1,41.0,2.24
176,lodja,36,CD,1534754931,59,-3.52,23.6,84.91,3.38
177,aksu,90,KZ,1534752000,42,52.04,76.93,82.4,8.95
178,mildura,36,AU,1534754476,69,-34.18,142.16,49.27,7.74
179,ergani,0,TR,1534751400,28,38.27,39.76,93.2,6.93
180,spencer,90,US,1534754100,93,43.14,-95.14,66.2,10.29
181,mount isa,0,AU,1534753800,12,-20.73,139.49,68.0,10.29
182,byron bay,0,AU,1534753800,54,-28.65,153.62,55.4,5.82
183,nabire,88,ID,1534754935,95,-3.36,135.5,71.5,0.58
184,bandarbeyla,0,SO,1534754448,79,9.49,50.81,80.86,30.11
185,mount gambier,92,AU,1534754593,89,-37.83,140.78,50.26,8.63
186,evensk,0,RU,1534754936,94,61.92,159.24,53.14,22.06
187,fortuna,0,ES,1534752000,69,38.18,-1.13,80.6,1.12
188,aksarka,8,RU,1534754510,64,66.56,67.8,67.18,13.67
189,karratha,0,AU,1534754527,11,-20.74,116.85,83.83,12.66
190,san ramon,92,NI,1534754547,94,12.92,-85.84,68.89,2.37
191,kathmandu,40,NP,1534753200,69,27.71,85.32,82.4,12.75
192,nikolskoye,40,RU,1534752000,72,59.7,30.79,66.2,4.47
193,olbernhau,0,CZ,1534753200,46,50.66,13.35,73.4,8.05
194,chhapra,75,IN,1534753800,66,25.78,84.75,91.4,11.41
195,coruripe,36,BR,1534754938,95,-10.12,-36.18,77.08,16.91
196,muravlenko,0,RU,1534754939,88,63.79,74.5,60.43,4.83
197,port hardy,75,CA,1534752000,100,50.7,-127.42,46.4,2.24
198,vaini,92,IN,1534754406,99,15.34,74.49,71.59,8.41
199,rodrigues alves,0,BR,1534754940,93,-7.74,-72.65,72.94,1.7
200,sayyan,88,YE,1534754940,22,15.17,44.32,80.32,5.84
201,berlevag,75,NO,1534751400,76,70.86,29.09,48.2,12.75
202,kapaa,20,US,1534751760,88,22.08,-159.32,80.6,10.29
203,rocha,8,UY,1534754503,87,-34.48,-54.34,39.01,10.98
204,richards bay,0,ZA,1534754579,58,-28.77,32.06,79.51,3.49
205,necochea,32,AR,1534754942,85,-38.55,-58.74,37.66,8.63
206,coos bay,90,US,1534752900,93,43.37,-124.22,57.2,10.29
207,nan,40,TH,1534752000,52,18.78,100.78,91.4,5.82
208,pevek,92,RU,1534754515,100,69.7,170.27,40.45,5.84
209,kampene,76,CD,1534754943,58,-3.59,26.67,81.58,3.15
210,shitanjing,20,CN,1534754943,47,39.23,106.34,78.79,4.94
211,mocuba,0,MZ,1534754526,57,-16.84,36.99,82.93,4.72
212,lamesa,1,US,1534752900,78,32.74,-101.95,71.6,4.7
213,thessalon,1,CA,1534752900,94,46.26,-83.55,68.0,7.4
214,novyy urgal,0,RU,1534754945,83,51.07,132.56,66.82,2.93
215,dumas,80,IN,1534754945,99,21.09,72.71,81.04,20.27
216,port shepstone,24,ZA,1534754945,70,-30.74,30.45,71.86,12.33
217,lazaro cardenas,24,MX,1534754946,92,28.39,-105.62,63.58,3.94
218,sumbe,0,AO,1534754405,92,-11.2,13.84,72.31,4.72
219,sistranda,75,NO,1534753200,81,63.73,8.83,53.6,16.11
220,dingle,88,PH,1534754458,79,11.0,122.67,81.49,9.75
221,airai,56,TL,1534754508,53,-8.93,125.41,77.71,1.36
222,zhigansk,0,RU,1534754947,72,66.77,123.37,65.29,2.82
223,ostrovnoy,24,RU,1534754530,69,68.05,39.51,59.35,21.16
224,marystown,0,CA,1534754948,100,47.17,-55.16,52.69,7.85
225,narrabri,0,AU,1534754949,44,-30.33,149.78,45.94,8.08
226,ayr,40,GB,1534753200,82,55.46,-4.63,57.2,3.6
227,great bend,90,US,1534751760,88,38.36,-98.78,64.4,13.87
228,eregli,0,TR,1534754950,57,37.51,34.05,73.39,4.83
